ID,State,County,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Year
24, California,Kern County,871337,31.2,49788,21094,194354,22.30526191,2016
22, California,Plumas County,18754,51.7,50125,31292,2346,12.50933134,2016
21, California,Butte County,223877,36.9,44366,25077,46456,20.75068006,2016
28, California,Tuolumne County,53864,48.2,50731,29431,7176,13.32244171,2016
14, California,Marin County,259358,45.7,100310,63608,20445,7.882926303,2016
3, California,Humboldt County,135182,37.6,42685,24038,27641,20.44724889,2016
15, California,Placer County,370571,41.5,76926,37914,31932,8.616972186,2016
29, California,Amador County,36963,50.3,57032,27496,3684,9.96672348,2016
2, California,Yolo County,209671,30.9,57663,28996,38898,18.55192182,2016
45, California,Mariposa County,17645,50.6,49265,27832,2849,16.14621706,2016
44, California,Merced County,265001,30.6,44397,19130,62661,23.64557115,2016
43, California,San Joaquin County,714860,33.7,55045,23477,124587,17.42816775,2016
41, California,Orange County,3132211,37.3,78145,35939,385556,12.30938784,2016
34, California,Imperial County,178807,32.2,42560,16311,40552,22.6792016,2016
38, California,Colusa County,21361,34.7,54946,25745,2859,13.38420486,2016
37, California,San Francisco County,850282,38.4,87701,55567,104180,12.25240567,2016
36, California,Napa County,140823,40.7,74609,38057,12086,8.582404863,2016
35, California,Alameda County,1605217,37.2,79831,39042,189590,11.8108642,2016
40, California,Fresno County,963160,31.6,45963,21057,254872,26.46206238,2016
